 0.1,  0.1,    1,     1,     0, 10004, 11913
 0.1,  0.1,    1,     5,     0, 10004, 14774
 0.1,  0.1,    1,    10,     0, 10004, 10367
 0.1,  0.1,    1,     1,     0, 10004, 12898
 0.1,  0.1,    1,     5,     0, 10004,  7633
 0.1,  0.1,    1,    10,     0, 10004,  5678
 0.1,  0.1,    1,     1,     0, 10004, 12420
 0.1,  0.1,    1,     5,     0, 10004, 10705
 0.1,  0.1,    1,    10,     0, 10004,  9474
 0.1,  0.1,    1,     1,     1, 10004, 11408
 0.1,  0.1,    1,     5,     1, 10004, 11094
 0.1,  0.1,    1,    10,     1, 10004,  8698
 0.1,  0.1,    3,     1,     0, 10004,  9689
 0.1,  0.1,    3,     5,     0, 10004,  9299
 0.1,  0.1,    3,    10,     0, 10004,  8817
 0.1,  0.1,    3,     1,     0, 10004,  4187
 0.1,  0.1,    3,     5,     0, 10004,  6285
 0.1,  0.1,    3,    10,     0, 10004,  9299
 0.1,  0.1,    3,     1,     0, 10004,  4771
 0.1,  0.1,    3,     5,     0, 10004,  7466
 0.1,  0.1,    3,    10,     0, 10004,  6733
 0.1,  0.1,    3,     1,     1, 10004,  6173
 0.1,  0.1,    3,     5,     1, 10004,  3784
 0.1,  0.1,    3,    10,     1, 10004,  5682
 0.1,  0.1,    5,     1,     0, 10004,  7536
 0.1,  0.1,    5,     5,     0, 10004,  3861
 0.1,  0.1,    5,    10,     0, 10004,  3368
 0.1,  0.1,    5,     1,     0, 10004,  6116
 0.1,  0.1,    5,     5,     0, 10004,  5364
 0.1,  0.1,    5,    10,     0, 10004,  2345
 0.1,  0.1,    5,     1,     0, 10004,  8062
 0.1,  0.1,    5,     5,     0, 10004,  4296
 0.1,  0.1,    5,    10,     0, 10004,  5587
 0.1,  0.1,    5,     1,     1, 10004,  8820
 0.1,  0.1,    5,     5,     1, 10004,  6624
 0.1,  0.1,    5,    10,     1, 10004,  8681
 0.1,  0.1,   10,     1,     0, 10004,  5587
 0.1,  0.1,   10,     5,     0, 10004,  3195
 0.1,  0.1,   10,    10,     0, 10004,  4914
 0.1,  0.1,   10,     1,     0, 10004,  2345
